1;Si un libro cuesta 25 bolívares y quieres comprar 2 libros, ¿cuánto dinero necesitas?;45;50;55;60;bolívares;45
1;Si un paquete contiene 10 galletas y quieres repartirlas entre 2 personas por igual, ¿cuántas galletas le tocan a cada persona?;2;3;4;5;galletas;5
1;Si un restaurante cobra 5 bolívares por plato y quieres invitar a 3 amigos a comer, ¿cuánto dinero necesitas en total?;10;12;15;18;bolívares;15
1;Si tienes 10 lápices y quieres repartirlos en 2 estuches por igual, ¿cuántos lápices deben ir en cada estuche?;3;4;5;6;lápices;5
1;Si un tanque de gasolina tiene capacidad para 30 litros y ya tiene 10 litros, ¿cuántos litros más puedes echarle?;10;15;20;25;litros;20
1;Si tienes 100 bolívares y quieres repartir este dinero entre 4 personas por igual, ¿cuánto le toca a cada persona?;20;25;30;35;bolívares;25
2;Si 5 camiones pueden cargar 200 toneladas de carga en total, ¿cuántas toneladas podrían cargar 8 camiones?;250;320;280;400;toneladas;320
2;Si 8 metros de tela cuestan 40 bolívares, ¿cuánto cuestan 12 metros de la misma tela?;45;50;55;60;bolívares;60
2;Si 3 litros de pintura cubren un área de 15 metros cuadrados, ¿cuántos litros necesitarás para cubrir un área de 30 metros cuadrados?;3;6;9;12;litros;6
2;Si 4 trabajadores tardan 8 horas en completar un proyecto, ¿cuántas horas tardarán 6 trabajadores en completar el mismo proyecto?;4;6;10;12;horas;12
2;Si una receta de pastel requiere 3 tazas de harina y quieres hacer el doble de la receta, ¿cuántas tazas de harina necesitarás?;3;6;9;12;tazas;6
2;Si 2 cajas de refresco contienen 24 latas en total, ¿cuántas latas hay en cada caja?;12;6; 8; 10;latas;12
3;Si un cuadrado tiene un lado de longitud 12 centímetros, ¿cuál es su perímetro?;36;48;60;72;centímetros;48
3;Si un cuadrado tiene un lado de longitud 16 metros, ¿cuál es su área?;64;128;192;256;metros cuadrados;256
3;Si un rectángulo tiene una base de 15 metros y una altura de 9 metros, ¿cuál es su área?;54;90;135;225;metros cuadrados;135
3;Si un círculo tiene un radio de 8 centímetros, ¿cuál es su circunferencia?;16π;24π;32π;64π;centímetros;16π
3;Si un cubo tiene una arista de longitud de 5 metros, ¿cuál es su volumen?;25;75;100;125;metros cúbicos;125
3;Si un prisma rectangular tiene una base de 10 cm de ancho, 8 cm de largo y 6 cm de altura, ¿cuál es su volumen?;280;360;480;640;cm cúbicos;480
4;Si un producto tiene un precio original de 100 bolívares y está rebajado un 30%, ¿cuál es su precio de venta?;70;75;80;90;bolívares;70
4;Si un estudiante contesta correctamente 28 preguntas de un total de 35 en un examen, ¿cuál es el porcentaje de respuestas correctas?;65;75;80;85;%;80
4;Si una tienda aumenta el precio de un artículo en un 25%, ¿cuánto costará si el precio original era de 80 bolívares?;85;90;100;105;bolívares;100
4;Si un grupo de estudiantes está compuesto por un 70% de mujeres y el resto del grupo son hombres, ¿cuál es el porcentaje de hombres en el grupo?;10;15;20;30;%;30
4;Si un descuento de 40% implica un ahorro de 120 bolívares, ¿cuál era el precio original del artículo?;200;300;340;360;bolívares;300
4;Si un restaurante aplica un impuesto del 15% sobre el total de la cuenta, ¿cuánto pagará una persona si su consumo es de 50 bolívares?;52,5;57,5;60;62,5;bolívares;57,5
5;Si una persona corre a una velocidad constante de 15 kilómetros por hora (km/h), ¿cuánto tiempo tardará en recorrer 75 kilómetros (km)?;3;4;5;6;horas;5
5;Si un automóvil recorre 480 kilómetros (km) en 6 horas (h), ¿cuál es su velocidad promedio en kilómetros por hora (km/h)?;60;70;80;90;km/h;80
5;Si un tren viaja a una velocidad constante de 100 kilómetros por hora (km/h) y necesita recorrer una distancia de 800 kilómetros (km), ¿cuánto tiempo tardará en llegar a su destino?;6;7;8;9;horas;8
5;Si una persona camina a una velocidad de 8 kilómetros por hora (km/h) y quiere recorrer una distancia de 32 kilómetros (km), ¿cuánto tiempo le tomará?;2;3;4;5;horas;4
5;Si un avión viaja a una velocidad de 1000 kilómetros por hora (km/h) y debe recorrer una distancia de 4000 kilómetros (km), ¿cuántas horas tardará en llegar a su destino?;2;3;4;5;horas;4
5;Si un tren recorre una distancia de 200 kilómetros (km) en 2 horas, ¿cuál es su velocidad en kilómetros por hora (km/h)?;80;90;100;110;km/h;100
